10:21:01.664 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:21:01.814 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:21:03.654 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat initialized with port(s): 80 (http)
10:21:03.694 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Initializing ProtocolHandler ["http-nio-80"]
10:21:03.694 [main] INFO  o.a.catalina.core.StandardService ‐Starting service [Tomcat]
10:21:03.694 [main] INFO  o.a.catalina.core.StandardEngine ‐Starting Servlet engine: [Apache Tomcat/9.0.31]
10:21:04.074 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring embedded WebApplicationContext
10:21:04.074 [main] INFO  o.s.web.context.ContextLoader ‐Root WebApplicationContext: initialization completed in 7953 ms
10:21:07.064 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping ‐Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
10:21:07.454 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor ‐Initializing ExecutorService 'applicationTaskExecutor'
10:21:09.964 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Context refreshed
10:21:10.044 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Found 1 custom documentation plugin(s)
10:21:10.124 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner ‐Scanning for api listing references
10:21:10.304 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator ‐Generating unique operation named: adminUsingGET_1
10:21:10.484 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Starting ProtocolHandler ["http-nio-80"]
10:21:10.554 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat started on port(s): 80 (http) with context path ''
10:21:10.564 [main] INFO  com.codeashuai.SpringBootRunner ‐Started SpringBootRunner in 16.565 seconds (JVM running for 18.284)
10:21:21.529 [http-nio-80-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring DispatcherServlet 'dispatcherServlet'
10:21:21.530 [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet ‐Initializing Servlet 'dispatcherServlet'
10:21:21.572 [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet ‐Completed initialization in 42 ms
10:21:21.632 [http-nio-80-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Enabling session validation scheduler...
10:21:36.642 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:21:36.642 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  [1] sessions were stopped.
10:21:51.636 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:21:51.637 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  No sessions were stopped.
10:22:06.635 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:22:06.636 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  No sessions were stopped.
10:24:01.274 [main] INFO  com.codeashuai.SpringBootRunner ‐Starting SpringBootRunner on WIN-A9KFGRJ550G with PID 10816 (E:\SpringBootApplication\mymall\target\classes started by Admin in E:\SpringBootApplication\mymall)
10:24:01.284 [main] INFO  com.codeashuai.SpringBootRunner ‐The following profiles are active: dev
10:24:04.045 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Multiple Spring Data modules found, entering strict repository configuration mode!
10:24:04.054 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Bootstrapping Spring Data Redis repositories in DEFAULT mode.
10:24:04.155 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Finished Spring Data repository scanning in 55ms. Found 0 Redis repository interfaces.
10:24:05.184 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'shiroConfig' of type [com.codeashuai.config.ShiroConfig$$EnhancerBySpringCGLIB$$1ee7f9b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:24:06.984 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'myShiroRealm' of type [com.codeashuai.realm.CustomRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:24:06.994 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:24:07.144 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:24:08.995 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat initialized with port(s): 80 (http)
10:24:09.035 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Initializing ProtocolHandler ["http-nio-80"]
10:24:09.035 [main] INFO  o.a.catalina.core.StandardService ‐Starting service [Tomcat]
10:24:09.035 [main] INFO  o.a.catalina.core.StandardEngine ‐Starting Servlet engine: [Apache Tomcat/9.0.31]
10:24:09.415 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring embedded WebApplicationContext
10:24:09.415 [main] INFO  o.s.web.context.ContextLoader ‐Root WebApplicationContext: initialization completed in 7991 ms
10:24:12.564 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping ‐Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
10:24:12.964 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor ‐Initializing ExecutorService 'applicationTaskExecutor'
10:24:15.584 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Context refreshed
10:24:15.654 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Found 1 custom documentation plugin(s)
10:24:15.755 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner ‐Scanning for api listing references
10:24:15.925 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator ‐Generating unique operation named: adminUsingGET_1
10:24:16.104 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Starting ProtocolHandler ["http-nio-80"]
10:24:16.174 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat started on port(s): 80 (http) with context path ''
10:24:16.184 [main] INFO  com.codeashuai.SpringBootRunner ‐Started SpringBootRunner in 16.762 seconds (JVM running for 18.394)
10:24:23.957 [http-nio-80-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring DispatcherServlet 'dispatcherServlet'
10:24:23.958 [http-nio-80-exec-2] INFO  o.s.web.servlet.DispatcherServlet ‐Initializing Servlet 'dispatcherServlet'
10:24:23.997 [http-nio-80-exec-2] INFO  o.s.web.servlet.DispatcherServlet ‐Completed initialization in 39 ms
10:24:24.054 [http-nio-80-exec-2] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Enabling session validation scheduler...
10:24:31.425 [http-nio-80-exec-7] INFO  com.codeashuai.aspect.LogAspect ‐进入logBefore方法前
10:24:31.432 [http-nio-80-exec-7] INFO  com.codeashuai.aspect.LogAspect ‐即将执行方法为: admin，属于com.codeashuai.controller.AdminController包
10:24:31.434 [http-nio-80-exec-7] INFO  com.codeashuai.aspect.LogAspect ‐用户请求的url为：http://localhost/admin，ip地址为：0:0:0:0:0:0:0:1
10:24:31.454 [http-nio-80-exec-7] INFO  com.codeashuai.aspect.LogAspect ‐方法admin执行完毕，返回参数为：login
10:24:39.057 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:24:39.057 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  No sessions were stopped.
10:24:54.057 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:24:54.061 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  [1] sessions were stopped.
10:25:09.127 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Validating all active sessions...
10:25:09.128 [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager ‐Finished session validation.  No sessions were stopped.
10:25:38.902 [main] INFO  com.codeashuai.SpringBootRunner ‐Starting SpringBootRunner on WIN-A9KFGRJ550G with PID 7108 (E:\SpringBootApplication\mymall\target\classes started by Admin in E:\SpringBootApplication\mymall)
10:25:38.915 [main] INFO  com.codeashuai.SpringBootRunner ‐The following profiles are active: dev
10:25:42.012 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Multiple Spring Data modules found, entering strict repository configuration mode!
10:25:42.022 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Bootstrapping Spring Data Redis repositories in DEFAULT mode.
10:25:42.132 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ‐Finished Spring Data repository scanning in 56ms. Found 0 Redis repository interfaces.
10:25:43.372 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'shiroConfig' of type [com.codeashuai.config.ShiroConfig$$EnhancerBySpringCGLIB$$29dbc41e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:45.522 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'myShiroRealm' of type [com.codeashuai.realm.CustomRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:45.532 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:45.742 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ‐Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:47.992 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat initialized with port(s): 80 (http)
10:25:48.032 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Initializing ProtocolHandler ["http-nio-80"]
10:25:48.032 [main] INFO  o.a.catalina.core.StandardService ‐Starting service [Tomcat]
10:25:48.042 [main] INFO  o.a.catalina.core.StandardEngine ‐Starting Servlet engine: [Apache Tomcat/9.0.31]
10:25:48.502 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring embedded WebApplicationContext
10:25:48.502 [main] INFO  o.s.web.context.ContextLoader ‐Root WebApplicationContext: initialization completed in 9400 ms
10:25:51.882 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping ‐Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
10:25:52.392 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor ‐Initializing ExecutorService 'applicationTaskExecutor'
10:25:55.092 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Context refreshed
10:25:55.182 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper ‐Found 1 custom documentation plugin(s)
10:25:55.272 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner ‐Scanning for api listing references
10:25:55.452 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator ‐Generating unique operation named: adminUsingGET_1
10:25:55.642 [main] INFO  o.a.coyote.http11.Http11NioProtocol ‐Starting ProtocolHandler ["http-nio-80"]
10:25:55.752 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ‐Tomcat started on port(s): 80 (http) with context path ''
10:25:55.762 [main] INFO  com.codeashuai.SpringBootRunner ‐Started SpringBootRunner in 19.288 seconds (JVM running for 21.591)
10:26:01.601 [http-nio-80-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ‐Initializing Spring DispatcherServlet 'dispatcherServlet'
